ID,Year,QuestionNo,Category,IsCountQuestion,RandomizeChoices,Prompt,Choice1,Choice2,Choice3,Choice4,OriginalAnswer,Explanation,Source,PageImage,QuestionImage
R7-2025-013,2025,13,権利関係,False,FALSE,建物の区分所有等に関する法律に関する次の記述のうち、誤っているものはどれか。,共用部分は、原則として区分所有者全員の共有に属するが、規約で別段の定めをすることを妨げず、管理者であっても、規約に特別の定めがあるときは、共用部分を所有することができる。,共用部分の持分の割合について、各共有者の共用部分の持分は、規約で別段の定めをしない限り、その有する専有部分の床面積の割合による。,集会の議事については、議長は、書面又は電磁的記録により、議事録を作成しなければならず、当該議事録には議事の経過の要領及びその結果を記載し、又は記録しなければならないとされているが、当該議事録が書面で作成されているときは、議長及び集会に出席した区分所有者全員がこれに署名しなければならない。,区分所有者が、建物の保存に有害な行為その他建物の管理又は使用に関し区分所有者の共同の利益に反する行為をした場合又はその行為をするおそれがある場合には、他の区分所有者の全員又は管理組合法人は、区分所有者の共同の利益のため、その行為を停止し、その行為の結果を除去し、又はその行為を予防するため必要な措置を執ることを請求することができる。,3,正解は 3 です。 建物では、構造、耐震性、劣化、維持管理、設備状況などが重要です。中古住宅では契約不適合やインスペクションにもつながります。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p08.jpg,q_2025_13.jpg
R7-2025-014,2025,14,権利関係,False,FALSE,不動産の登記に関する次の記述のうち、不動産登記法の規定によれば、誤っているものはどれか。,登記官は、一筆の土地の一部が別の地目となったときであっても、職権でその土地の分筆の登記をすることができない。,登記事項証明書の交付の請求は、請求情報を電子情報処理組織を使用して登記所に提供する方法によりすることができる。,権利に関する登記の申請は、法令に別段の定めがある場合を除き、登記権利者及び登記義務者が共同してしなければならない。,建物の合併の登記は、表題部所有者又は所有権の登記名義人以外の者は、申請することができない。,1,正解は 1 です。 権利関係は、民法・借地借家法などを中心に、契約の成立、効力、解除、対抗関係を判断する分野です。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p08.jpg,q_2025_14.jpg
R7-2025-015,2025,15,法令上の制限,False,FALSE,都市計画法に関する次の記述のうち、誤っているものはどれか。,風致地区は、都市の風致を維持するため定める地区であり、当該地区内における建築物の建築について、政令の定める基準に従い、地方公共団体の条例で、都市の風致を維持するため必要な規制をすることができる。,特定街区は、市街地の整備改善を図るため街区の整備又は造成が行われる地区について、その街区内における建築物の容積率並びに建築物の高さの最高限度及び壁面の位置の制限を定める街区である。,近隣商業地域は、近隣の住宅地の住民に対する日用品の供給を行うことを主たる内容とする商業その他の業務の利便を増進するため定める地域である。,生産緑地地区は、農業の利便の増進を図りつつ、これと調和した低層住宅に係る良好な住居の環境を保護するため定める地区である。,4,正解は 4 です。 都市計画法では、市街化区域・市街化調整区域、用途地域、開発許可の要否が重要です。区域区分と開発行為の制限をセットで確認します。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p09.jpg,q_2025_15.jpg
R7-2025-016,2025,16,法令上の制限,False,FALSE,都市計画法に関する次の記述のうち、正しいものはどれか。ただし、この問において条例による特別の定めはないものとし、「都道府県知事」とは、地方自治法に基づく指定都市、中核市及び施行時特例市にあってはその長をいうものとする。,市街化調整区域のうち開発許可を受けた開発区域以外の区域において行う、学校教育法に規定する学校の新築については、都道府県知事の許可が不要である。,開発行為とは、主として建築物の建築又は特定工作物の建設の用に供する目的で行う土地の区画形質の変更をいい、ゴルフコースの建設は開発行為にはあたらない。,"区域区分が定められていない都市計画区域において、商業施設の建築の用に供する目的で行う4,000 m2 の開発行為は都道府県知事の許可が不要である。",自己の居住の用に供する住宅の建築を目的として行う開発行為以外の開発行為にあっては、原則として開発区域内に建築基準法に規定する災害危険区域内の土地を含んではならない。,4,正解は 4 です。 都市計画法では、市街化区域・市街化調整区域、用途地域、開発許可の要否が重要です。区域区分と開発行為の制限をセットで確認します。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p09.jpg,q_2025_16.jpg
R7-2025-017,2025,17,法令上の制限,False,FALSE,建築基準法に関する次の記述のうち、誤っているものはどれか。,建築主は、建築確認が必要な建築物を建築しようとする場合は、当該建築物の計画を建築基準法令の規定に適合させるだけでなく、建築基準法令の規定以外の宅地造成及び特定盛土等規制法などの建築基準関係規定にも適合するものであることについて確認を受ける必要がある。,建築主は、2 階建ての木造住宅を新築しようとする場合は、当該工事に着手する前に、その計画が建築基準関係規定に適合するものであることについて、確認を受け、確認済証の交付を受ける措置が必要となるが、当該住宅の大規模の修繕をしようとする場合には、当該措置は不要である。,"延べ面積が1,000 m2 を超える木造建築物は、その外壁及び軒裏で延焼のおそれのある部分を防火構造としなければならない。",高さ1 m 以下の階段の部分には、手すりを設けなくてもよい。,2,正解は 2 です。 建築基準法では、接道義務、建ぺい率、容積率、用途制限、防火・準防火地域などが頻出です。特に道路幅員による容積率制限に注意します。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p10.jpg,q_2025_17.jpg
R7-2025-018,2025,18,法令上の制限,False,FALSE,次の記述のうち、建築基準法（以下この問において「法」という。）の規定によれば、正しいものはどれか。,都市再生特別地区内においては、建築物の容積率、建蔽率及び建築面積は当該地区に関する都市計画において定められた内容に適合するものでなければならないが、その高さは法第56 条の高さの制限に関する規定に適合させる必要がある。,"2 階建てかつ床面積1,000 m2 の飲食店は、第一種低層住居専用地域、第二種低層住居専用地域、第一種中高層住居専用地域、工業専用地域及び田園住居地域に建築することができない。",特定行政庁による認可を受けて公告された建築協定は、その後、当該協定の土地の所有者等の全員で合意したときに限り、その公告のあった日以後において当該建築協定区域内の土地の所有者等となった者に対しても効力が及ぶこととなる。,建築物のエネルギー消費性能の向上のため必要な外壁等に関する工事を行う場合、公益性が高いことから特定行政庁の許可を受けることなく、法第52 条の規定による容積率の限度を超えることができる。,2,正解は 2 です。 建築基準法では、接道義務、建ぺい率、容積率、用途制限、防火・準防火地域などが頻出です。特に道路幅員による容積率制限に注意します。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p10.jpg,q_2025_18.jpg
R7-2025-019,2025,19,法令上の制限,False,FALSE,宅地造成及び特定盛土等規制法に関する次の記述のうち、誤っているものはどれか。なお、この問において「都道府県知事」とは、地方自治法に基づく指定都市及び中核市にあってはその長をいうものとし、地方自治法に基づく施行時特例市に係る経過措置については考慮しないものとする。,工事主は、特定盛土等規制区域内において行われる特定盛土等又は土石の堆積に関する政令で定める規模の工事の許可の申請をするときは、あらかじめ、主務省令で定めるところにより、特定盛土等又は土石の堆積に関する工事の施行に係る土地の周辺地域の住民に対し、説明会の開催その他の当該特定盛土等又は土石の堆積に関する工事の内容を周知させるため必要な措置を講じなければならない。,宅地造成等工事規制区域内の土地の工事主又は工事施行者は、宅地造成等に伴う災害が生じないよう、その土地を常時安全な状態に維持するように努めなければならない。,都道府県知事は、宅地造成等工事規制区域内の土地について、宅地造成等に伴う災害の防止のために必要があると認める場合においては、その土地の所有者、管理者、占有者、工事主又は工事施行者に対して、擁壁等の設置等の必要な措置をとることを勧告することができる。,宅地造成等工事規制区域内において行われる宅地造成等に関する工事の許可を受けた工事主は、当該許可に係る土地の見やすい場所に、主務省令で定めるところにより、氏名又は名称その他の主務省令で定める事項を記載した標識を掲げなければならない。,2,正解は 2 です。 宅地造成・盛土規制では、災害防止の観点から、一定の工事に許可や届出が必要となる場合があります。区域指定と工事内容を確認します。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p11.jpg,q_2025_19.jpg
R7-2025-020,2025,20,法令上の制限,False,FALSE,土地区画整理法に関する次の記述のうち、誤っているものはどれか。,個人施行者は、その者以外に換地計画に係る区域内の宅地を所有する者（当該宅地の所有権について施行者に対抗することができない者を除く。）がある場合においては、換地計画について認可を申請しようとするときは、これらの者の同意を得なければならない。,国又は地方公共団体の所有する土地以外であって道路の用に供している土地については、土地区画整理事業の施行により当該道路に代わるべき道路が設置され、その結果、当該道路が廃止される場合等においては、換地計画において、当該土地について換地を定めないことができる。,従前の宅地の所有者及びその宅地について使用収益権を有する者が、仮換地について使用又は収益を開始することができる日を別に定められたため、従前の宅地について使用し、又は収益することができなくなったことにより損失を受けた場合においては、施行者は、その損失を受けた者に対して、通常生ずべき損失を補償しなければならない。,仮換地の指定があった日後、土地区画整理事業の施行による施行地区内の土地及び建物の変動に係る登記がされるまでの間は、登記の申請人が確定日付のある書類によりその指定前に登記原因が生じたことを証明した場合を除き、施行地区内の土地及び建物に関しては他の登記をすることができない。,4,正解は 4 です。 土地区画整理法では、仮換地、換地処分、清算金、保留地などの用語と効果を整理します。仮換地指定後の使用収益関係がポイントです。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p12.jpg,q_2025_20.jpg
R7-2025-021,2025,21,法令上の制限,False,FALSE,農地に関する次の記述のうち、農地法（以下この問において「法」という。）の規定によれば、誤っているものはどれか。,市街化区域外にある農地の転用の申請に係る事業が住宅の用に供される土地の造成だけを目的としている場合、申請に係る農地の全てを住宅の用に供することが確実と認められないときには、法第4 条第1 項又は法第5 条第1 項の許可を受けることができない。,仮設工作物を設置するため、市街化区域外にある農地の所有権を取得しようとする場合には、法第5 条第1 項の許可を受けることができない。,農地の賃貸借は、その登記がなくても、農地の引渡しがあったときは、これをもってその後その農地について所有権を取得した第三者に対抗することができる。,法人の代表者が、その法人の業務に関し、法第4 条第1 項又は法第5 条第1 項の規定に違反して農地の転用をした場合には、その代表者が罰せられるほか、その法人も300 万円以下の罰金刑が科せられる。,4,正解は 4 です。 農地法では、農地の権利移動、転用、転用目的の権利移動について、3条・4条・5条の違いを押さえます。市街化区域内の届出との違いも重要です。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p12.jpg,q_2025_21.jpg
R7-2025-022,2025,22,法令上の制限,False,FALSE,国土利用計画法第23 条の届出（以下この問において「事後届出」という。）に関する次の記述のうち、正しいものはどれか。,"市街化区域内においてＡが所有する面積3,500 m2 の土地について、Ｂが2,000 m2、Ｃが1,500 m2 とそれぞれ分割して購入した場合、Ｂ及びＣはともに事後届出を行わなければならない。","都市計画区域外においてＤが所有する面積12,000 m2 の土地について、Ｅが担保権の実行による競売を通じて所有権を取得した場合、Ｅは事後届出を行わなければならない。","Ｆが、自ら所有する市街化調整区域内の7,000 m2 の土地について、宅地建物取引業者Ｇと売買契約を締結した場合には、Ｇは契約を締結した日から1 か月以内に事後届出を行う必要がある。","市街化区域内に所在する一団の土地である甲土地（面積1,200 m2）と乙土地（面積1,300 m2）について、甲土地については売買によって所有権を取得し、乙土地については対価の授受を伴わず賃借権の設定を受けたＨは、事後届出を行う必要はない。",4,正解は 4 です。 国土利用計画法では、一定面積以上の土地取引について事後届出が必要となる場合があります。届出義務者、届出期限、対象面積を確認します。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p13.jpg,q_2025_22.jpg
R7-2025-023,2025,23,税・その他,False,FALSE,土地の売買による所有権の移転登記等に係る登録免許税の税率の軽減措置に関する次の記述のうち、正しいものはどれか。,この税率の軽減措置は、地目が雑種地となっている土地の売買による所有権の移転登記についても適用される。,"この税率の軽減措置の適用対象となる土地は、その価額が1,000 万円未満のものに限られる。",この税率の軽減措置は、法人が土地の売買による所有権の移転登記を受ける場合には適用されない。,"この税率の軽減措置の適用対象となる土地は、その面積が1,000 m2 未満のものに限られる。",1,正解は 1 です。 宅地建物取引業を営むには原則として免許が必要です。免許権者、免許換え、欠格事由、廃業等の届出などが出題されやすい論点です。 この解説は学習用の要約です。法改正や判例変更があるため、実務では最新条文・判例も確認してください。,令和7年度宅地建物取引士資格試験 公式PDF,2025_p13.jpg,q_2025_23.jpg
